"ECO_NAME","CSIRO68","GHM1","HFP4","LIA","ensb_thr3","Natural","Integ1km10","Integ1km20","Integ1km30","Area (ha)"
"Qaidam Basin semi-desert",0.993360779888791,0.918448694342149,0.930248023191779,0.88829885701894,0.936204764608796,0.99109168465695,0.999841293233424,0.999648173009809,0.999398371798132,19214443.0673313
"Qilian Mountains conifer forests",0.55227296997386,0.0928045054220838,0.0345715997603355,0.543183996166747,0.096876686049997,0.869510659162418,0.998546295608234,0.996084751430482,0.992308835550271,1665309.97133882
"Qilian Mountains subalpine meadows",0.953668405920562,0.764009774580599,0.674344166280749,0.859167764910411,0.776421737788626,0.951322202881922,0.999554120132168,0.999207206440251,0.998707054798529,7328513.73547227
"Qin Ling Mountains deciduous forests",0.667794190704372,0.0155998153292889,0.0100547632722066,0.295907259374797,0.0200777728966336,0.672123447789113,0.885426492915059,0.855528337566662,0.824786027066941,12327838.8933707
"Qionglai-Minshan conifer forests",0.797691940592055,0.102393749377924,0.0411360923199363,0.487770841899351,0.102817480591658,0.829407918942905,0.991308581041023,0.981502778728388,0.967845798649437,8013381.65506902
"Queen Charlotte Islands conifer forests",0.999579947331858,0.991867499752058,0.957378795950986,0.935067774376913,0.991919428504509,0.999892344893835,1,1,1,1024081.26622487
"Queensland tropical rain forests",0.869860558360219,0.682356338434883,0.581672138836773,0.804270777954988,0.707553415588324,0.831505999172528,0.958537384582927,0.940979625548189,0.925984944721002,3453314.61940276
"Rakiura Island temperate forests",0.952163501698502,0.948548812664908,0.618446601941748,0.991266375545852,0.979360165118679,0.999612681901179,1,1,1,169503.399084723
"Rann of Kutch seasonal salt marsh",0.909463590289984,0.00766596622305238,0.45503929308659,0.702345184443332,0.259594417793284,0.923697546087326,0.965820561941252,0.942313218390805,0.919228927203065,2783873.79781477
"Rapa Nui and Sala y Gómez subtropical forests",0,0.00584795321637427,NA,0.643312101910828,NA,0.622211204759544,0.999015263417036,0.994583948793698,0.980797636632201,17803.7687317752
"Red River freshwater swamp forests",0.00472912388279872,0,0,0.00726744186046512,0,0.0285374822345713,0.0767659623433972,0.0541763157516218,0.041712814464278,1072412.60271115
"Red Sea-Arabian Desert shrublands",0.981446565730194,0.384758606033501,0.447901865608778,0.692085617265894,0.523202650821213,0.988913825703727,0.997270047573056,0.99616374892802,0.995185374520346,31394297.1942017
"Red Sea coastal desert",0.994776432632428,0.772505340250229,0.688158456415948,0.720905245924006,0.763536727822442,0.996598055276647,0.999658081746186,0.999264677732145,0.998898996819764,5882668.04474431
"Red Sea mangroves",0.836931778988756,0.122289679098005,0.39017608897127,0.13821892393321,0.154970760233918,0.966360424028269,0.996406426155581,0.992460541149944,0.986118940248027,115874.454178166
"Registan-North Pakistan sandy desert",0.981826239023935,0.447290654596301,0.58718022523657,0.652310572647572,0.570456989928766,0.965109825331471,0.992986136833227,0.989300002677579,0.986326774007845,27699884.3218931
"Renosterveld shrubland",0.418424993657747,0.28332278258423,0.1403397699694,0.234590065828845,0.222049908360355,0.57420448404055,0.747120170527337,0.690477618286985,0.649377695155126,2836406.38246104
"Richmond temperate forests",0.720165253043723,0.318202871699861,0.447126991791405,0.466024915062288,0.349096661393722,0.927670960114492,0.986073378031455,0.978932479250268,0.970950375115276,1321608.32597256
"Rio Negro campinarana",0.994869164910972,0.998808993651418,0.994504357185734,0.995002556103872,0.999121155053358,0.998262282886438,1,1,1,9598613.79418551
"Rodope montane mixed forests",0.671900996804924,0.0208142509712264,0.0452525761825229,0.626442978561461,0.0395438953119045,0.814492247881038,0.977317067207784,0.958836760139843,0.938801554898174,3168567.76184539
"Russian Arctic desert",0.980826404942979,0.972240048163119,0.999881866509155,0.9828797190518,0.981748269674442,1,1,1,1,16281046.375591
"Russian Bering tundra",0.99998954481094,0.998552398715598,0.971941111604515,0.989095989516208,0.998800167845372,0.991074965592957,0.999998188904505,0.999995554583784,0.999990779877478,47726983.0894691
"Rwenzori-Virunga montane moorlands",0.0363690564912804,0.145038167938931,0,0.994230769230769,0.00763358778625954,0.928102625298329,1,0.999105011933174,0.993436754176611,51621.5054290504
"Saharan Atlantic coastal desert",0.989854657883703,0.951164650604819,0.837000630119723,0.927021292911735,0.952293720006192,0.995257868026234,0.999156188857795,0.998585203489052,0.998059039497377,3981732.69589646
"Saharan halophytics",0.950490300269421,0.605981964489087,0.785151981032471,0.705894511358725,0.658347919372142,0.977470107535655,0.993407573926565,0.989904896385139,0.98699418001106,5384751.39806135
"Sahelian Acacia savanna",0.590463261918436,0.412589245823989,0.489950463812237,0.421124038372794,0.421210291734638,0.806962826548035,0.925090815695798,0.903155242549077,0.882067099768795,366868131.995546
"Sakhalin Island taiga",0.986890941262785,0.871981590540929,0.641258429727944,0.940560315177287,0.895617968688537,0.978467053257169,0.996677246459976,0.995086705890477,0.99318067636071,6894426.34323032
"Samoan tropical moist forests",0.417524205403761,0.0897393599472121,NA,0.294982078853047,NA,0.343585377534188,0.988934698763133,0.949248570288602,0.866524803830297,308251.913508113
"San Félix-San Ambrosio Islands temperate forests",1,NA,NA,NA,NA,NA,NA,NA,NA,648.818252471801
"San Lucan xeric scrub",0.678843290624279,0.201664876476907,0.042381974248927,0.0195149149707276,0.0338150289017341,0.947368421052632,0.997185020899087,0.992791947453723,0.9887187579971,386721.30234295
"Santa Lucia Montane Chaparral & Woodlands",0.836177245348232,0.664191769198133,0.681916271040138,0.446157186278767,0.60146211785556,0.915530158308278,0.992830008715815,0.990478383134076,0.988620105576477,470783.442811038
"Santa Marta montane forests",0.769011898603207,0,0.0381886477462437,0.474244004171011,0.0104253544620517,0.978747474747475,1,1,1,476552.562508073
"Santa Marta páramo",0.710123272319761,0.000800640512409928,0.007223113964687,0.978084415584416,0.00575657894736842,0.99918130864664,1,1,1,123865.884750694
"São Tomé, Príncipe, and Annobón forests",0.304880981005049,0.00200601805416249,0,0.576381365113759,0,0.887334255267225,0.9933219317534,0.983874908380161,0.971658929880283,103218.132680477
"Sarmatic mixed forests",0.593997220974196,0.0570764435016866,0.210109908959123,0.500040435230113,0.160535137827428,0.647090151799211,0.920767500819273,0.872162506651235,0.812498604433625,85031406.4695172
"Sayan alpine meadows and tundra",0.98819250562446,0.946472837799121,0.893088819278297,0.888613582610654,0.949688452039166,0.88664195829978,0.999699280876481,0.999350369585731,0.998822183432882,8121183.51866687
"Sayan Intermontane steppe",0.649416379992274,0.803044607033278,0.65307382471408,0.814822503632967,0.659250655229926,0.85040261093363,0.962406272625326,0.951162413581248,0.941894166577212,3405883.87581014
"Sayan montane conifer forests",0.947499872807241,0.806562757743204,0.849747630185892,0.903289089476161,0.894179909226377,0.919444725063798,0.996247259950774,0.994006857148833,0.991488691455752,35883240.2401864
"Scandinavian and Russian taiga",0.97326248707364,0.651610453099394,0.682019781972978,0.803047311677074,0.741603209305959,0.932026164510948,0.993034958525363,0.987602585261343,0.980493076749353,217028827.63914
"Scandinavian coastal conifer forests",0.907335666383436,0.0564399421128799,0.202179541212596,0.626497253656277,0.186252611859644,0.839738187807634,0.963392668187269,0.950379758741505,0.938359160063019,1953920.64389353
